Gebiet;BundeslandID;Wahlberechtigte_Erststimmen_Endgültig;Wahlberechtigte_Erststimmen_Vorperiode;Wahlberechtigte_Zweitstimmen_Endgültig;Wahlberechtigte_Zweitstimmen_Vorperiode;Waehler_Erststimmen_Endgültig;Waehler_Erststimmen_Vorperiode;Waehler_Zweitstimmen_Endgültig;Waehler_Zweitstimmen_Vorperiode;Ungueltige_Erststimmen_Endgültig;Ungueltige_Erststimmen_Vorperiode;Ungueltige_Zweitstimmen_Endgültig;Ungueltige_Zweitstimmen_Vorperiode;Gueltige_Erststimmen_Endgültig;Gueltige_Erststimmen_Vorperiode;Gueltige_Zweitstimmen_Endgültig;Gueltige_Zweitstimmen_Vorperiode;CDU_Erststimmen_Endgültig;CDU_Erststimmen_Vorperiode;CDU_Zweitstimmen_Endgültig;CDU_Zweitstimmen_Vorperiode;SPD_Erststimmen_Endgültig;SPD_Erststimmen_Vorperiode;SPD_Zweitstimmen_Endgültig;SPD_Zweitstimmen_Vorperiode;LINKE_Erststimmen_Endgültig;LINKE_Erststimmen_Vorperiode;LINKE_Zweitstimmen_Endgültig;LINKE_Zweitstimmen_Vorperiode;GRUENE_Erststimmen_Endgültig;GRUENE_Erststimmen_Vorperiode;GRUENE_Zweitstimmen_Endgültig;GRUENE_Zweitstimmen_Vorperiode;CSU_Erststimmen_Endgültig;CSU_Erststimmen_Vorperiode;CSU_Zweitstimmen_Endgültig;CSU_Zweitstimmen_Vorperiode;FDP_Erststimmen_Endgültig;FDP_Erststimmen_Vorperiode;FDP_Zweitstimmen_Endgültig;FDP_Zweitstimmen_Vorperiode;AFD_Erststimmen_Endgültig;AFD_Erststimmen_Vorperiode;AFD_Zweitstimmen_Endgültig;AFD_Zweitstimmen_Endgültig;AFD_Zweitstimmen_Vorperiode
Schleswig-Holstein;1;2266012;2251796;2266012;2251796;1729194;1645750;1729194;1645750;16172;18752;13553;17460;1713022;1626998;1715641;1628290;682287;708702;583135;638756;493279;596882;399505;513725;90574;66183;124678;84177;163580;111921;205471;153137;;;;;131703;37526;216844;91714;128641;58681;140362;74346;74346
Mecklenburg-Vorpommern;13;1324614;1350705;1324614;1350705;938587;881718;938587;881718;11742;15974;11077;13975;926845;865744;927510;867743;316662;384607;307263;369048;161437;165660;139689;154431;171130;204479;165368;186871;33746;33232;39514;37716;;;;;43899;11891;57895;18968;168456;;172409;48885;48885
Hamburg;2;1296656;1281918;1296656;1281918;984926;901213;984926;901213;9254;11260;6808;10384;975672;889953;978118;890829;277677;305979;266312;285927;311889;336337;229862;288902;105242;66995;119076;78296;114485;94473;136371;112826;;;;;69178;17707;105610;42869;71527;29835;76511;37142;37142
Niedersachsen;3;6124582;6117473;6124582;6117473;4681871;4491281;4681871;4491281;46554;53723;34895;46021;4635317;4437558;4646976;4445260;1777588;1946518;1623481;1825592;1557197;1699556;1275172;1470005;273064;189645;322979;223935;334541;299885;404825;391901;;;;;264801;82291;431405;185647;369663;82424;422362;165875;165875
Bremen;4;474151;483823;474151;483823;335919;333022;335919;333022;4876;4211;3596;3610;331043;328811;332323;329412;81275;97265;83409;96459;105119;133437;88944;117204;39405;28521;44629;33284;33386;37667;36733;40014;;;;;30457;6360;31056;11204;30935;10764;33244;12307;12307
Brandenburg;12;2051559;2065944;2051559;2065944;1512145;1412785;1512145;1412785;23743;29140;21314;24423;1488402;1383645;1490831;1388362;432157;492236;397839;482601;304896;367713;261822;321174;256497;330627;255721;311312;67253;53549;74971;65182;;;;;75734;21252;105485;35365;289204;;301103;83075;83075
Sachsen-Anhalt;15;1854891;1930880;1854891;1930880;1263474;1198248;1263474;1198248;22949;21741;18494;19433;1240525;1176507;1244980;1178815;401454;491418;377411;485781;213058;230859;188980;214731;238047;299032;220858;282319;38938;38929;46243;46858;;;;;81211;20679;96555;30998;210127;16657;244401;49661;49661
Berlin;11;2503070;2505718;2503070;2505718;1892134;1815415;1892134;1815415;26660;29655;23092;27694;1865474;1785760;1869042;1787721;460296;536332;424321;508643;391772;455138;334253;439387;377564;333148;351170;330507;230935;243259;234947;220737;;;;;105053;25867;167046;63616;212211;67483;225170;88060;88060
Nordrhein-Westfalen;5;13174577;13253554;13174577;13253554;9938461;9605247;9938461;9605247;124291;132654;85084;107090;9814170;9472593;9853377;9498157;3756952;4148811;3214013;3776563;3073698;3472520;2557876;3028282;626631;483918;736904;582925;641360;606235;744970;760642;;;;;787235;228962;1293052;498027;799777;171511;928425;372258;372258
Sachsen;14;3329550;3406430;3329550;3406430;2509684;2368758;2509684;2368758;39951;43865;30280;36106;2469733;2324893;2479404;2332652;756206;1080087;665751;994601;289109;375941;261105;340819;432722;500300;398627;467045;112300;103470;113608;113916;;;;;165449;55673;203662;71259;628048;;669940;157781;157781
