date;count
2017-05-29;6017
2017-05-30;13701
2017-05-31;9007
2017-06-01;11327
2017-06-02;9475
2017-06-03;8651
2017-06-04;9313
2017-06-05;6939
2017-06-06;5981
2017-06-07;7084
2017-06-08;7710
2017-06-09;8689
2017-06-10;8038
2017-06-11;8790
2017-06-12;5426
2017-06-13;4648
2017-06-14;6897
2017-06-15;6727
2017-06-16;9013
2017-06-17;7103
2017-06-18;6588
2017-06-19;4924
2017-06-20;8013
2017-06-21;8661
2017-06-22;9110
2017-06-23;7530
2017-06-24;6564
2017-06-25;9955
2017-06-26;8192
2017-06-27;13138
2017-06-28;11938
2017-06-29;11126
2017-06-30;18712
2017-07-01;6839
2017-07-02;5435
2017-07-03;8297
2017-07-04;14628
2017-07-05;6333
2017-07-06;8392
2017-07-07;15851
2017-07-08;15247
2017-07-09;11214
2017-07-10;9697
2017-07-11;9110
2017-07-12;8261
2017-07-13;7870
2017-07-14;6405
2017-07-15;5983
2017-07-16;6233
2017-07-17;3432
2017-07-18;8663
2017-07-19;8505
2017-07-20;8207
2017-07-21;8354
2017-07-22;5613
2017-07-23;4765
2017-07-24;7581
2017-07-25;5843
2017-07-26;7623
2017-07-27;6828
2017-07-28;3679
2017-07-29;7098
2017-07-30;5962
2017-07-31;7264
2017-08-01;6690
2017-08-02;9491
2017-08-03;8032
2017-08-04;6663
2017-08-05;6155
2017-08-06;7260
2017-08-07;9273
2017-08-08;8190
2017-08-09;8148
2017-08-10;7394
2017-08-11;7494
2017-08-12;7070
2017-08-13;8960
2017-08-14;8361
2017-08-15;9797
2017-08-16;9433
2017-08-17;11930
2017-08-18;14000
2017-08-19;11408
2017-08-20;13703
2017-08-21;12996
2017-08-22;11625
2017-08-23;10730
2017-08-24;11335
2017-08-25;10618
2017-08-26;10942
2017-08-27;12804
2017-08-28;11227
2017-08-29;13843
2017-08-30;14271
2017-08-31;11468
2017-09-01;13393
2017-09-02;9210
2017-09-03;13108
2017-09-04;22046
2017-09-05;18167
2017-09-06;13984
2017-09-07;12733
2017-09-08;10968
2017-09-09;12886
2017-09-10;14122
2017-09-11;14316
2017-09-12;15578
2017-09-13;15709
2017-09-14;13481
2017-09-15;14490
2017-09-16;11891
2017-09-17;16252
2017-09-18;16207
2017-09-19;17318
2017-09-20;15068
2017-09-21;11755
2017-09-22;13069
2017-09-23;18073
2017-09-24;35668
2017-09-25;1219
